public_id,creation_time,last_edit_time,author_id,author_name,active,type_id,type_name,label,summaries,externals,match_fields,fields
1000,2019-06-23 02:25:39,2019-06-25 22:01:27,1,Mark Heumueller,True,3,router,Router,"[{'name': 'management', 'label': 'Management', 'labels': ['Management IP', 'Hostname'], 'fields': ['management_ip', 'hostname'], 'values': ['169.82.187.114', 'web-60.combs-murray.com']}]",,,"[{'name': 'management_ip', 'value': '169.82.187.114', 'label': 'Management IP', 'type': 'text'}, {'name': 'hostname', 'value': 'web-60.combs-murray.com', 'label': 'Hostname', 'type': 'text'}, {'name': 'monitoring', 'value': True, 'label': 'Monitoring', 'type': 'text'}, {'name': 'os', 'value': 'action', 'label': 'Operating System', 'type': 'text'}, {'name': 'username', 'value': 'kimberlyclark', 'label': 'Username', 'type': 'text'}, {'name': 'password', 'value': b'4Z/sW6xKKJj1BqpwABOzmPj44xmP5UU8Kx2VekVXOqtiqsJ+hj4581AanTtwIXCc', 'label': 'Password', 'type': 'password'}, {'name': 'address', 'value': 102, 'label': 'Address', 'type': 'text'}, {'name': 'building', 'value': 'country', 'label': 'Building', 'type': 'text'}, {'name': 'room', 'value': 'out', 'label': 'Room', 'type': 'text'}, {'name': 'rack', 'value': 'watch', 'label': 'Rack', 'type': 'text'}, {'name': 'manufacturer', 'value': 'ChristopherGroup', 'label': 'Manufacturer', 'type': 'text'}, {'name': 'supplier', 'value': 'JonesLLC', 'label': 'Supplier', 'type': 'text'}, {'name': 'model', 'value': 'food', 'label': 'Model', 'type': 'text'}, {'name': 'serial_number', 'value': 0, 'label': 'Serial Number', 'type': 'text'}, {'name': 'software_version', 'value': 88585010, 'label': 'Software Version', 'type': 'text'}]"
999,2019-06-14 07:39:15,2019-06-15 13:05:28,64,Andrew Taylor,True,5,servers,Servers,"[{'name': 'hostname', 'label': 'Name', 'labels': ['Hostname'], 'fields': ['hostname'], 'values': ['laptop-90.gonzalez-mitchell.com']}]","[{'name': 'ssh', 'href': 'ssh:/192.31.150.182/', 'label': 'SSH', 'icon': 'fas fa-ethernet', 'fields': ['ipv4']}]",,"[{'name': 'hostname', 'value': 'laptop-90.gonzalez-mitchell.com', 'label': 'Hostname', 'type': 'text'}, {'name': 'ipv4', 'value': '192.31.150.182', 'label': 'IPv4 Public', 'type': 'text'}, {'name': 'ipv4_network_class', 'value': 'b', 'label': 'IPv4 Network Class', 'type': 'text'}, {'name': 'ipv4_intranet', 'value': '172.29.123.254', 'label': 'IPv4 Private', 'type': 'text'}, {'name': 'ipv6', 'value': 'bd56:8f6b:de63:d3da:bfde:b2b0:6309:ba38', 'label': 'IPv6', 'type': 'text'}]"
998,2019-07-01 19:30:26,2019-06-16 22:48:51,64,Andrew Taylor,True,3,router,Router,"[{'name': 'management', 'label': 'Management', 'labels': ['Management IP', 'Hostname'], 'fields': ['management_ip', 'hostname'], 'values': ['192.88.103.100', 'lt-68.mccoy.com']}]",,,"[{'name': 'management_ip', 'value': '192.88.103.100', 'label': 'Management IP', 'type': 'text'}, {'name': 'hostname', 'value': 'lt-68.mccoy.com', 'label': 'Hostname', 'type': 'text'}, {'name': 'monitoring', 'value': True, 'label': 'Monitoring', 'type': 'text'}, {'name': 'os', 'value': 'among', 'label': 'Operating System', 'type': 'text'}, {'name': 'username', 'value': 'cheryl14', 'label': 'Username', 'type': 'text'}, {'name': 'password', 'value': b'XunxhT2q9koyGG+pZVxl/PGvjbBFobAATuI82JOsL4CyZNsEfHVQjNPJPB2TEAUY', 'label': 'Password', 'type': 'password'}, {'name': 'address', 'value': 752, 'label': 'Address', 'type': 'text'}, {'name': 'building', 'value': 'mission', 'label': 'Building', 'type': 'text'}, {'name': 'room', 'value': 'above', 'label': 'Room', 'type': 'text'}, {'name': 'rack', 'value': 'relationship', 'label': 'Rack', 'type': 'text'}, {'name': 'manufacturer', 'value': 'JamesLLC', 'label': 'Manufacturer', 'type': 'text'}, {'name': 'supplier', 'value': 'StewartLLC', 'label': 'Supplier', 'type': 'text'}, {'name': 'model', 'value': 'entire', 'label': 'Model', 'type': 'text'}, {'name': 'serial_number', 'value': 940782059, 'label': 'Serial Number', 'type': 'text'}, {'name': 'software_version', 'value': 808545586, 'label': 'Software Version', 'type': 'text'}]"
997,2019-07-01 19:01:32,2019-06-26 03:08:34,42,Madeline Campbell,True,1,leased_lines,Leased Lines,"[{'name': 'connection_state', 'label': 'Connection State', 'labels': ['State'], 'fields': ['state'], 'values': [True]}, {'name': 'linedetails', 'label': 'Linedetails', 'labels': ['Product Name', 'Transfer Rate'], 'fields': ['product_name', 'transfer_rate'], 'values': ['Young Group', '6 Mbit/s']}, {'name': 'location_a', 'label': 'Location A', 'labels': ['Company Name A', 'ZIP A', 'City A'], 'fields': ['company_name_a', 'zip_a', 'city_a'], 'values': ['Laura LLC', '31199', 'Jimenezville']}, {'name': 'location_b', 'label': 'Location B', 'labels': ['Company Name B', 'ZIP B', 'City B'], 'fields': ['company_name_b', 'zip_b', 'city_b'], 'values': ['Bradley LLC', '21932', 'Masonland']}]",[],,"[{'name': 'state', 'value': True, 'label': 'State', 'type': 'checkbox'}, {'name': 'product_name', 'value': 'Young Group', 'label': 'Product Name', 'type': 'text'}, {'name': 'transfer_rate', 'value': '6 Mbit/s', 'label': 'Transfer Rate', 'type': 'text'}, {'name': 'company_name_a', 'value': 'Laura LLC', 'label': 'Company Name A', 'type': 'text'}, {'name': 'street_a', 'value': 'Tyrone Neck', 'label': 'Street A', 'type': 'text'}, {'name': 'zip_a', 'value': '31199', 'label': 'ZIP A', 'type': 'text'}, {'name': 'city_a', 'value': 'Jimenezville', 'label': 'City A', 'type': 'text'}, {'name': 'location_details_a', 'value': 214, 'label': 'Location Details A', 'type': 'text'}, {'name': 'company_name_b', 'value': 'Bradley LLC', 'label': 'Company Name B', 'type': 'text'}, {'name': 'street_b', 'value': 'Salas Station', 'label': 'Street B', 'type': 'text'}, {'name': 'zip_b', 'value': '21932', 'label': 'ZIP B', 'type': 'text'}, {'name': 'city_b', 'value': 'Masonland', 'label': 'City B', 'type': 'text'}, {'name': 'location_details_b', 'value': 847, 'label': 'Location Details B', 'type': 'text'}]"
996,2019-06-28 13:09:45,2019-06-19 07:08:43,76,Tara Allen,True,4,locations,Locations,"[{'name': 'address', 'label': 'Address', 'labels': ['Street', 'Entrance'], 'fields': ['street', 'city'], 'values': ['Jacqueline Ridge', 'East Amandastad']}]",[],,"[{'name': 'naming', 'value': 'MD', 'label': 'Naming', 'type': 'text'}, {'name': 'description', 'value': 'Feel direction rather others full here. Election else teacher.', 'label': 'Description', 'type': 'textarea'}, {'name': 'entrance', 'value': 'May majority production person. Major month side natural water.', 'label': 'Entrance', 'type': 'text'}, {'name': 'person_in_charge', 'value': 471, 'label': 'Person in Charge', 'type': 'text'}, {'name': 'street', 'value': 'Jacqueline Ridge', 'label': 'Street', 'type': 'text'}, {'name': 'zip', 'value': '49698', 'label': 'ZIP', 'type': 'text'}, {'name': 'city', 'value': 'East Amandastad', 'label': 'Entrance', 'type': 'text'}, {'name': 'map-lang', 'value': '38.2632395', 'label': 'Latitude', 'type': 'text'}, {'name': 'map-long', 'value': '65.583844', 'label': 'Longitude', 'type': 'text'}]"
995,2019-06-24 15:31:05,2019-06-20 14:21:42,19,Wendy Murray,True,2,switch,Switch,"[{'name': 'management', 'label': 'Management', 'labels': ['Management IP', 'Hostname'], 'fields': ['management_ip', 'hostname'], 'values': ['192.173.175.68', 'lt-50.weaver.com']}]",,,"[{'name': 'management_ip', 'value': '192.173.175.68', 'label': 'Management IP', 'type': 'text'}, {'name': 'hostname', 'value': 'lt-50.weaver.com', 'label': 'Hostname', 'type': 'text'}, {'name': 'monitoring', 'value': True, 'label': 'Monitoring', 'type': 'text'}, {'name': 'os', 'value': 'there', 'label': 'Operating System', 'type': 'text'}, {'name': 'username', 'value': 'richard97', 'label': 'Username', 'type': 'text'}, {'name': 'password', 'value': b'zIfZwLnf5+PZ2DeWzN3ioOIjn0L7FFnlks9YsQaFfeoLvZ4Ny+m4cHqs6wxvVgMj', 'label': 'Password', 'type': 'password'}, {'name': 'address', 'value': 604, 'label': 'Address', 'type': 'text'}, {'name': 'building', 'value': 'nearly', 'label': 'Building', 'type': 'text'}, {'name': 'room', 'value': 'single', 'label': 'Room', 'type': 'text'}, {'name': 'rack', 'value': 'game', 'label': 'Rack', 'type': 'text'}, {'name': 'manufacturer', 'value': 'KennethInc', 'label': 'Manufacturer', 'type': 'text'}, {'name': 'supplier', 'value': 'Pattersonand Sons', 'label': 'Supplier', 'type': 'text'}, {'name': 'model', 'value': 'picture', 'label': 'Model', 'type': 'text'}, {'name': 'serial_number', 'value': 86658, 'label': 'Serial Number', 'type': 'text'}, {'name': 'software_version', 'value': 32782, 'label': 'Software Version', 'type': 'text'}]"
994,2019-06-15 06:35:33,2019-07-04 07:53:55,24,Robin Summers,True,3,router,Router,"[{'name': 'management', 'label': 'Management', 'labels': ['Management IP', 'Hostname'], 'fields': ['management_ip', 'hostname'], 'values': ['33.175.99.112', 'web-45.kim.com']}]",,,"[{'name': 'management_ip', 'value': '33.175.99.112', 'label': 'Management IP', 'type': 'text'}, {'name': 'hostname', 'value': 'web-45.kim.com', 'label': 'Hostname', 'type': 'text'}, {'name': 'monitoring', 'value': False, 'label': 'Monitoring', 'type': 'text'}, {'name': 'os', 'value': 'leader', 'label': 'Operating System', 'type': 'text'}, {'name': 'username', 'value': 'salazarchristian', 'label': 'Username', 'type': 'text'}, {'name': 'password', 'value': b'MduximVUhwRKdoNvUpREtItXFpxM/TVUZXyou8HcTXLIL/5C7Mg6ApY+tVl+qjhG', 'label': 'Password', 'type': 'password'}, {'name': 'address', 'value': 137, 'label': 'Address', 'type': 'text'}, {'name': 'building', 'value': 'identify', 'label': 'Building', 'type': 'text'}, {'name': 'room', 'value': 'worry', 'label': 'Room', 'type': 'text'}, {'name': 'rack', 'value': 'collection', 'label': 'Rack', 'type': 'text'}, {'name': 'manufacturer', 'value': 'MaryLLC', 'label': 'Manufacturer', 'type': 'text'}, {'name': 'supplier', 'value': 'MartinPLC', 'label': 'Supplier', 'type': 'text'}, {'name': 'model', 'value': 'finally', 'label': 'Model', 'type': 'text'}, {'name': 'serial_number', 'value': 35216, 'label': 'Serial Number', 'type': 'text'}, {'name': 'software_version', 'value': 2, 'label': 'Software Version', 'type': 'text'}]"
993,2019-06-28 03:24:15,2019-06-12 15:44:52,99,Anne Franco,True,2,switch,Switch,"[{'name': 'management', 'label': 'Management', 'labels': ['Management IP', 'Hostname'], 'fields': ['management_ip', 'hostname'], 'values': ['192.31.199.144', 'web-76.ortega.info']}]",,,"[{'name': 'management_ip', 'value': '192.31.199.144', 'label': 'Management IP', 'type': 'text'}, {'name': 'hostname', 'value': 'web-76.ortega.info', 'label': 'Hostname', 'type': 'text'}, {'name': 'monitoring', 'value': True, 'label': 'Monitoring', 'type': 'text'}, {'name': 'os', 'value': 'number', 'label': 'Operating System', 'type': 'text'}, {'name': 'username', 'value': 'rramirez', 'label': 'Username', 'type': 'text'}, {'name': 'password', 'value': b'iEDR7EpzJe7sBTcVeQHVWXU9O91P9kqxlr98ks8DgK8c97aXdsYgaw2Lx1MK2N2w', 'label': 'Password', 'type': 'password'}, {'name': 'address', 'value': 657, 'label': 'Address', 'type': 'text'}, {'name': 'building', 'value': 'fish', 'label': 'Building', 'type': 'text'}, {'name': 'room', 'value': 'dream', 'label': 'Room', 'type': 'text'}, {'name': 'rack', 'value': 'television', 'label': 'Rack', 'type': 'text'}, {'name': 'manufacturer', 'value': 'ZacharyInc', 'label': 'Manufacturer', 'type': 'text'}, {'name': 'supplier', 'value': 'MillerInc', 'label': 'Supplier', 'type': 'text'}, {'name': 'model', 'value': 'military', 'label': 'Model', 'type': 'text'}, {'name': 'serial_number', 'value': 6, 'label': 'Serial Number', 'type': 'text'}, {'name': 'software_version', 'value': 91, 'label': 'Software Version', 'type': 'text'}]"
992,2019-06-30 04:59:56,2019-06-15 22:54:07,69,Valerie Young,True,4,locations,Locations,"[{'name': 'address', 'label': 'Address', 'labels': ['Street', 'Entrance'], 'fields': ['street', 'city'], 'values': ['John Pass', 'Owensburgh']}]",[],,"[{'name': 'naming', 'value': 'DDS', 'label': 'Naming', 'type': 'text'}, {'name': 'description', 'value': 'Away Mrs up political consider they. Human between person why work will four. Moment blood professor require financial tonight charge. Around huge health candidate.', 'label': 'Description', 'type': 'textarea'}, {'name': 'entrance', 'value': 'Inside key before the smile way. Ok show perhaps economy whether treat. Century direction police concern card after whom stage. Write citizen shake white spend prevent through.', 'label': 'Entrance', 'type': 'text'}, {'name': 'person_in_charge', 'value': 460, 'label': 'Person in Charge', 'type': 'text'}, {'name': 'street', 'value': 'John Pass', 'label': 'Street', 'type': 'text'}, {'name': 'zip', 'value': '14492', 'label': 'ZIP', 'type': 'text'}, {'name': 'city', 'value': 'Owensburgh', 'label': 'Entrance', 'type': 'text'}, {'name': 'map-lang', 'value': '-76.311281', 'label': 'Latitude', 'type': 'text'}, {'name': 'map-long', 'value': '176.048869', 'label': 'Longitude', 'type': 'text'}]"
991,2019-07-01 05:59:35,2019-06-12 04:54:15,61,Matthew Miller,True,5,servers,Servers,"[{'name': 'hostname', 'label': 'Name', 'labels': ['Hostname'], 'fields': ['hostname'], 'values': ['db-52.gonzalez.com']}]","[{'name': 'ssh', 'href': 'ssh:/89.36.110.38/', 'label': 'SSH', 'icon': 'fas fa-ethernet', 'fields': ['ipv4']}]",,"[{'name': 'hostname', 'value': 'db-52.gonzalez.com', 'label': 'Hostname', 'type': 'text'}, {'name': 'ipv4', 'value': '89.36.110.38', 'label': 'IPv4 Public', 'type': 'text'}, {'name': 'ipv4_network_class', 'value': 'a', 'label': 'IPv4 Network Class', 'type': 'text'}, {'name': 'ipv4_intranet', 'value': '192.168.102.78', 'label': 'IPv4 Private', 'type': 'text'}, {'name': 'ipv6', 'value': '8cc7:8b45:5277:d199:f36d:6320:741c:9534', 'label': 'IPv6', 'type': 'text'}]"
